Category,Subcategory,English name,GEL,Photo URL
Breakfast,,Mini Cottage Cheese Pancakes,10,https://radiobatumi.github.io/images/Dishes/Breakfast/CottageCheesePancakes.jpg
Breakfast,,English Breakfast,15,https://radiobatumi.github.io/images/Dishes/Breakfast/EnglishBreakfast.jpg
Breakfast,,Omelette,9,https://radiobatumi.github.io/images/Dishes/Breakfast/Omelette.jpg
Breakfast,,Salmon & Poached Eggs on Toast,15,https://radiobatumi.github.io/images/Dishes/Breakfast/SalmonPoachedEggsToast.jpg
Breakfast,,Oatmeal,7,https://radiobatumi.github.io/images/Dishes/Breakfast/Oatmeal.jpg
Starters,,European Cheese Plate,40,https://radiobatumi.github.io/images/Dishes/Sides/EuropeanCheesePlatter.jpg
Starters,,Salmon Carpaccio,20,
Starters,,Cheese sticks,7,
Starters,,French Fries,6,https://radiobatumi.github.io/images/Dishes/Sides/FrenchFries.jpg
Starters,,Roasted Salted Peanuts,5,
Salads,,Greek Salad,13,https://radiobatumi.github.io/images/Dishes/Salads/GreekSalad.jpg
Salads,,Fried Sulguni Salad,10,https://radiobatumi.github.io/images/Dishes/Salads/FriedSulguniSalad.jpg
Salads,,Warm Chicken Salad,12,https://radiobatumi.github.io/images/Dishes/Salads/WarmChickenSalad.jpg
Salads,,"Quinoa, Avocado and Salmon Salad",18,https://radiobatumi.github.io/images/Dishes/Salads/QuinoaAvocadoSalmonSalad.jpg
Salads,,Burger Salad,17,https://radiobatumi.github.io/images/Dishes/Salads/BurgerSalad.jpg
Soups,,American Potato Cream Soup,10,https://radiobatumi.github.io/images/Dishes/Soups/AmericanPotatoCreamSoup.jpg
Soups,,Pumpkin Soup,7,https://radiobatumi.github.io/images/Dishes/Soups/PumpkinSoup.jpg
Soups,,Chowder,15,https://radiobatumi.github.io/images/Dishes/Soups/Chowder.jpg
Soups,,Vegetable Cream Soup,7,https://radiobatumi.github.io/images/Dishes/Soups/VegetableSoup.jpg
Soups,,Mushroom Cream Soup,9,https://radiobatumi.github.io/images/Dishes/Soups/MushroomSoup.jpg
Pasta,,Pasta Carbonara,15,https://radiobatumi.github.io/images/Dishes/Pasta/PastaCarbonara.jpg
Pasta,,Spaghetti Bolognese,13,https://radiobatumi.github.io/images/Dishes/Pasta/SpagBol.jpg
Pasta,,Lasagna,18,https://radiobatumi.github.io/images/Dishes/Pasta/Lasagna.jpg
Pasta,,Penne Alfredo,15,https://radiobatumi.github.io/images/Dishes/Pasta/PenneAlfredo.jpg
Pasta,,Vegetarian Pasta,12,https://radiobatumi.github.io/images/Dishes/Pasta/VegetarianPasta.jpg
